school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Cameron University,4149,2814,Oklahoma,Small City,NA,94.33,69.13,99.92,2,1,5,1,0,2,3,1,7,1.9015894336292105,0.9657454874068853
Campbell University,4382,3634,North CaroliNA,Town,NA,87.44,62.26,98.93,1,1,3,1,0,2,2,1,5,0.9340519144216062,1.1383133064994062
Campbellsville University,3704,2128,Kentucky,Town,private,88.69,60.92,99.45,1,1,4,1,0,2,2,1,6,1.6673867178242183,0.5108485208898593
Canisius College,2397,2303,New York,Large City,private,83.55,66.54,96.06,1,1,2,1,0,1,2,1,3,1.6506181763751389,0.15318597983084348
Capella University,9208,1382,Minnesota,Large City,NA,99.99,98.66,100.0,6,3,14,3,1,7,9,4,21,0.034410505966982564,9.269407601299482
Capital University,2703,2493,Ohio,Suburb,NA,63.28,40.03,87.42,1,0,1,0,0,1,1,0,2,0.7628729209952836,0.2384623835332339
CardiNAl Stritch University,1542,901,Wisconsin,Suburb,NA,24.27,17.24,37.06,0,0,0,0,0,0,0,0,0,0.17439179310873992,0.10351976366543522
Carleton College,2068,2055,Minnesota,Town,NA,85.15,61.94,99.36,1,1,3,1,0,2,2,1,5,0.05127393273225879,1.8532149120127466
Carlos Albizu University - Miami,376,291,Florida,Suburb,NA,82.77,61.89,97.47,1,1,2,1,0,1,2,1,3,1.7544179376911542,0.0
Carlow University,1365,1075,Pennsylvania,Large City,NA,62.12,46.25,81.96,1,0,1,0,0,1,1,0,2,0.9032612214411274,0.06720054483346505
Carnegie Mellon University,6530,6298,Pennsylvania,Large City,NA,99.98,98.69,100.0,6,3,12,3,1,6,9,4,18,0.9226321928302541,7.4038408417093216
Carroll College,1360,1287,MontaNA,Town,NA,98.72,27.34,100.0,3,0,35,2,0,23,5,0,58,3.6384157752544004,0.7055323397830768
Carroll University,2983,2737,Wisconsin,Small City,NA,44.64,35.03,59.72,0,0,1,0,0,0,0,0,1,0.2850835899322515,0.3061027142395494
Carson - Newman University,1688,1608,Tennessee,Suburb,NA,62.97,31.04,92.38,1,0,2,0,0,1,1,0,3,0.2934130220055356,0.6989156769572754
Carthage College,2740,2596,Wisconsin,Suburb,NA,55.9,44.07,74.0,1,0,1,0,0,0,1,0,1,0.11264978851260671,0.7058729933459338
Case Western Reserve University,5147,4978,Ohio,Large City,private,98.38,88.02,99.99,3,1,6,1,1,3,4,2,9,0.6533531145669191,3.464568620939863
Castleton University,1857,1590,Vermont,Town,NA,42.12,25.85,65.32,0,0,1,0,0,0,0,0,1,0.00044386639218212527,0.5460190187986224
Catawba College,1322,1268,North CaroliNA,Suburb,NA,47.08,26.33,74.65,0,0,1,0,0,0,0,0,1,0.28415586904389045,0.3517181279722132
Catholic University of America,3308,3194,District of Columbia,Large City,NA,96.7,82.95,99.9,2,1,5,1,1,2,3,2,7,0.015948025378114315,3.3908636570574555
Cazenovia College,897,713,New York,Town,NA,51.63,33.57,81.3,0,0,1,0,0,1,0,0,2,0.5036032396213284,0.2221785478971659
Cedar Crest College,1432,931,Pennsylvania,Midsize City,NA,65.13,47.69,85.24,1,0,1,0,0,1,1,0,2,0.7117038377042084,0.3414943852040836
Cedarville University,3536,3109,Ohio,Town,private,87.86,66.54,98.76,1,1,3,1,0,1,2,1,4,0.38410384833328964,1.72288900602279
CenteNAry University,1366,1125,New Jersey,Suburb,private,78.44,53.36,96.04,1,1,2,0,0,1,1,1,3,1.2705761059344418,0.26269514742071864
CenteNAry College of LouisiaNA,536,524,LouisiaNA,Midsize City,NA,68.47,37.33,94.51,1,0,2,0,0,1,1,0,3,0.35730597620157256,0.7945537507700353
