school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
University of St. Thomas - Houston,1815,1434,Texas,Large City,NA,100.0,99.64,100.0,8,4,18,4,2,8,12,6,26,11.679747049653091,0.16342311301929108
University of the Cumberlands,3317,1828,Kentucky,Town,NA,97.11,80.16,99.97,3,1,6,1,0,2,4,1,8,1.9997758302911808,1.5412305896148897
University of the District of Columbia,3858,1830,District of Columbia,Large City,public,99.26,94.53,99.98,3,2,6,1,1,2,4,3,8,2.852259581199515,2.0497342823903795
University of the IncarNAte Word,5996,4461,Texas,Large City,NA,100.0,100.0,100.0,28,13,59,12,6,27,40,19,86,39.31613977705382,0.45937117558654333
University of the Ozarks,756,747,Arkansas,Town,NA,76.57,48.31,95.86,1,0,2,0,0,1,1,0,3,0.26564962768654027,1.1815640037141963
University of the Pacific,3552,3452,California,Large City,private,100.0,99.91,100.0,9,5,16,4,2,7,13,7,23,11.801659948530569,0.5823904473267859
University of the Southwest,509,417,New Mexico,Rural,NA,75.94,47.78,95.97,1,0,2,0,0,1,1,0,3,0.4968206626076275,0.9248215514022677
University of the West,185,148,California,Suburb,NA,49.36,32.26,72.0,0,0,1,0,0,0,0,0,1,0.6791001836635009,0.0
University of Toledo,16191,13056,Ohio,Large City,public,100.0,99.87,100.0,9,5,16,3,2,6,12,7,22,9.934011713139267,2.079389530440401
University of Tulsa,3347,3203,Oklahoma,Large City,private,99.79,94.46,100.0,4,2,9,2,1,4,6,3,13,1.479568726708516,4.655625797503408
University of Utah,24637,18066,Utah,Midsize City,NA,100.0,100.0,100.0,33,13,79,14,5,35,47,18,114,35.15398097048592,11.123696101384253
University of Vermont,11341,10395,Vermont,Small City,NA,100.0,99.86,100.0,8,5,15,3,2,6,11,7,21,0.0070490986986422016,11.508083954733008
University of Virginia - Main Campus,16658,15766,Virginia,Suburb,public,100.0,100.0,100.0,22,11,40,10,4,18,32,15,58,22.461753900838517,8.935233017882995
University of Washington - Bothell Campus,5365,4641,Washington,Suburb,NA,99.93,99.1,100.0,5,3,8,2,1,4,7,4,12,6.89831123018003,0.31998908092451656
University of Washington - Seattle Campus,31328,28759,Washington,Large City,public,100.0,100.0,100.0,33,21,56,14,9,25,47,30,81,33.97940880199285,13.478121822544326
University of Washington - Tacoma Campus,4436,3945,Washington,Midsize City,NA,99.72,97.88,99.99,4,3,6,2,1,3,6,4,9,5.7172367316795105,0.15381638471422104
University of West Alabama,2111,1843,Alabama,Rural,NA,97.13,81.19,99.92,3,1,5,1,0,2,4,1,7,2.9001259216817523,0.6462213582655844
University of West Georgia,11230,8938,Georgia,Town,public,99.99,95.42,100.0,7,2,19,2,1,8,9,3,27,8.771950940239401,0.5514983857593888
University of Wisconsin - Eau Claire,10184,9476,Wisconsin,Small City,public,85.73,72.7,95.52,1,1,2,1,0,1,2,1,3,1.367427962508271,0.5793935608572794
University of Wisconsin - Green Bay,6812,4095,Wisconsin,Midsize City,public,75.98,61.68,89.74,1,1,2,0,0,1,1,1,3,1.175113391573413,0.2510945786027445
University of Wisconsin - La Crosse,9701,9094,Wisconsin,Small City,NA,86.81,73.92,96.42,1,1,2,1,0,1,2,1,3,1.4783153364250396,0.5472821248585789
University of Wisconsin - Madison,31358,28977,Wisconsin,Large City,NA,100.0,99.99,100.0,10,6,18,4,3,8,14,9,26,3.569255966370445,10.921407534170696
University of Wisconsin - Milwaukee,20356,17076,Wisconsin,Large City,NA,98.25,93.66,99.82,3,2,5,1,1,2,4,3,7,3.520948595555219,0.5217985869886472
University of Wisconsin - Oshkosh,12410,7994,Wisconsin,Small City,NA,90.97,80.76,97.61,2,1,3,1,0,1,3,1,4,2.2131729167051435,0.19106138171007692
University of Wisconsin - Parkside,4135,3275,Wisconsin,Suburb,NA,61.78,47.61,78.78,1,0,1,0,0,0,1,0,1,0.6830735426259034,0.2782816605486419
University of Wisconsin - Platteville,7614,6723,Wisconsin,Town,NA,89.22,75.13,98.19,2,1,3,1,0,1,3,1,4,1.0788646148733796,1.1478463540470227
University of Wisconsin - River Falls,5680,5014,Wisconsin,Town,NA,68.41,52.28,85.17,1,1,1,0,0,1,1,1,2,0.49021002429541793,0.6619593699749644
University of Wisconsin - Stevens Point,7896,7224,Wisconsin,Town,NA,81.3,67.24,93.29,1,1,2,0,0,1,1,1,3,1.3275377850926677,0.3485029005195828
University of Wisconsin - Stout,8129,6605,Wisconsin,Town,public,81.5,66.66,93.7,1,1,2,0,0,1,1,1,3,0.9504109242965288,0.7366693622174839
University of Wisconsin - Superior,2373,1829,Wisconsin,Suburb,NA,43.48,29.35,63.54,0,0,1,0,0,0,0,0,1,0.24318369626301248,0.3272068998239229
University of Wisconsin - Whitewater,11128,9830,Wisconsin,Town,NA,93.1,83.29,98.69,2,1,3,1,1,1,3,2,4,1.775478859924763,0.8969364356982741
University of Wyoming,9796,8281,Wyoming,Town,NA,97.48,82.27,99.99,3,1,6,1,0,3,4,1,9,0.017312415922388844,3.6588094766008656
Upper Iowa University,4275,2107,Iowa,Rural,private,98.58,88.15,99.99,3,2,7,1,1,3,4,3,10,1.6269147403317847,2.621471184908262
Ursinus College,1507,1489,Pennsylvania,Suburb,private,88.99,71.78,98.23,2,1,3,1,0,1,3,1,4,0.8227165897503953,1.3814175308266903
Ursuline College,620,455,Ohio,Suburb,private,36.07,21.86,56.24,0,0,1,0,0,0,0,0,1,0.39182397509886613,0.05537153444501717
Utah State University,24621,17188,Utah,Small City,public,100.0,100.0,100.0,31,11,75,13,4,34,44,15,109,34.0896334408475,9.294105546357862
Utah Valley University,36870,18404,Utah,Small City,NA,100.0,100.0,100.0,48,18,117,20,7,52,68,25,169,59.088338993636626,9.11946391294661
Utica College,3686,2901,New York,Small City,NA,99.01,94.29,99.96,3,2,5,1,1,2,4,3,7,3.693158407901824,0.9207511892472692
Valdosta State University,8774,7166,Georgia,Small City,NA,99.95,92.71,100.0,6,2,16,2,1,6,8,3,22,6.849145679544523,0.8145690025002039
Valley City State University,1373,834,North Dakota,Town,NA,89.04,60.37,99.46,2,1,4,1,0,2,3,1,6,1.708544809610243,0.49949944814853897
University of Valley Forge,700,589,Pennsylvania,Suburb,NA,61.47,41.04,82.6,1,0,1,0,0,1,1,0,2,0.29222730353757853,0.6606275848504626
Valparaiso University,3228,3153,IndiaNA,Suburb,NA,92.83,78.8,99.22,2,1,3,1,0,1,3,1,4,0.8551099351861087,1.7780500400109989
Vanderbilt University,6888,6805,Tennessee,Large City,NA,100.0,99.86,100.0,9,5,18,4,2,8,13,7,26,0.9302785857564826,11.969353388380352
Vanguard University of Southern California,1842,1524,California,Midsize City,NA,99.85,97.24,100.0,5,3,9,2,1,4,7,4,13,5.539255011612015,0.9478463726943522
Vassar College,2352,2334,New York,Suburb,private,98.44,90.43,99.96,3,2,5,1,1,2,4,3,7,0.7430531548987707,3.4106702842654175
Villanova University,6948,6525,Pennsylvania,Suburb,NA,100.0,99.86,100.0,8,5,15,3,2,6,11,7,21,1.1078163980797402,10.436952169875184
Virginia Commonwealth University,23666,20036,Virginia,Midsize City,NA,100.0,100.0,100.0,30,14,54,13,6,25,43,20,79,40.08596355260185,3.063373656364046
Virginia Military Institute,1724,1722,Virginia,Town,public,95.84,78.57,99.76,2,1,4,1,0,2,3,1,6,1.9268342337723525,1.2493725658576114
