school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Jarvis Christian College,908,835,Texas,Rural,NA,100.0,99.9,100.0,11,5,25,6,2,14,17,7,39,15.98471628125846,0.35752251387002487
John Brown University,1972,1489,Arkansas,Town,NA,100.0,98.92,100.0,7,3,16,4,1,9,11,4,25,1.1490434281235296,9.430044852153411
John Carroll University,3079,2987,Ohio,Suburb,private,99.96,98.49,100.0,5,3,10,2,1,5,7,4,15,4.787715937634239,3.0095260352222946
Johns Hopkins University,6106,5668,Maryland,Large City,NA,100.0,100.0,100.0,19,10,38,9,4,19,28,14,57,1.9867726182759184,25.778966147375936
Johnson & Wales University - Providence,7717,7267,Rhode Island,Midsize City,private,100.0,100.0,100.0,18,10,33,8,4,16,26,14,49,0.7111619957874193,25.0362974106546
Johnson C Smith University,1395,1329,North CaroliNA,Large City,NA,99.87,95.97,100.0,4,2,9,2,1,5,6,3,14,0.753851995509139,5.83157157025463
Johnson State College,1377,882,Vermont,Rural,NA,71.03,47.85,90.66,1,0,2,0,0,1,1,0,3,0.0059802733613461626,1.2296443882736001
Judson College,313,230,Alabama,Rural,NA,83.78,56.84,97.99,1,1,3,1,0,1,2,1,4,1.2798409548931624,0.5325551693831493
Judson University,1078,761,Illinois,Midsize City,private,86.09,64.34,98.31,1,1,3,1,0,1,2,1,4,1.353531880414141,0.6160120846554378
Juniata College,1487,1400,Pennsylvania,Town,NA,98.57,89.83,99.98,3,2,6,1,1,3,4,3,9,1.9117709330674009,2.3256309193381353
Kalamazoo College,1434,1427,Michigan,Small City,NA,99.21,90.1,100.0,3,2,7,2,1,4,5,3,11,3.251410492779941,1.5726377994267133
Kansas State University,18484,16770,Kansas,Small City,NA,100.0,100.0,100.0,18,9,35,8,4,18,26,13,53,10.89819913678416,15.11032170009976
Kansas Wesleyan University,693,631,Kansas,Town,NA,98.67,84.54,100.0,3,1,6,1,1,3,4,2,9,0.27838753726071985,4.008535868803063
Kaplan University - Davenport Campus,25486,3127,Iowa,Midsize City,NA,100.0,100.0,100.0,101,48,221,49,22,115,150,70,336,2.21864904470208,148.0216135986373
Kean University,11985,9516,New Jersey,Suburb,NA,100.0,100.0,100.0,55,30,110,25,13,53,80,43,163,79.29009975230042,1.3768258759412562
Keene State College,3778,3624,New Hampshire,Town,NA,99.82,93.89,100.0,4,2,8,2,1,4,6,3,12,1.4082613548800358,4.900265747117952
Kent State University at Kent,23179,19108,Ohio,Suburb,public,100.0,100.0,100.0,38,21,72,18,9,35,56,30,107,46.771942373657666,9.214357583074541
Kentucky Christian University,589,439,Kentucky,Town,NA,84.74,58.99,98.43,1,1,3,1,0,1,2,1,4,0.789111587894821,1.0856035704750178
Kentucky State University,1762,1122,Kentucky,Town,public,99.31,90.87,100.0,3,2,7,2,1,4,5,3,11,1.6071572673457857,3.3527310673931554
Kentucky Wesleyan College,716,673,Kentucky,Small City,private,89.43,64.24,99.44,2,1,3,1,0,2,3,1,5,1.2809911443492596,0.9609929722651307
Kenyon College,1678,1661,Ohio,Town,NA,99.79,95.63,100.0,4,2,8,2,1,4,6,3,12,0.5888259718320294,5.533481391279353
Kettering University,1891,1807,Michigan,Small City,NA,99.86,95.68,100.0,4,2,10,2,1,5,6,3,15,4.1593144307840175,2.4096917759350736
Keuka College,1645,1312,New York,Town,private,99.06,93.94,99.96,3,2,5,1,1,3,4,3,8,4.364911451996855,0.29647057042832436
Keystone College,1454,1065,Pennsylvania,Suburb,private,96.8,85.25,99.87,2,1,4,1,1,2,3,2,6,2.4987362790037704,0.9383478711955969
King University,1798,1608,Tennessee,Small City,NA,99.96,96.0,100.0,5,2,12,2,1,6,7,3,18,3.665425551441785,4.090894112665975
King's College,2198,2025,Pennsylvania,Small City,NA,99.88,97.53,100.0,5,3,9,2,1,4,7,4,13,2.947227406004447,3.754169159924684
