school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Princeton University,5397,5260,New Jersey,Suburb,private,100.0,100.0,100.0,19,10,40,9,4,19,28,14,59,5.814799247572965,22.14148744105387
Principia College,456,441,Illinois,Rural,private,87.73,64.55,98.85,1,1,3,1,0,1,2,1,4,0.05647022601623402,2.0320614380237005
Providence Christian College,165,161,California,Midsize City,private,61.2,38.6,85.64,1,0,1,0,0,1,1,0,2,0.7614173759979238,0.1821150773702357
Providence College,4076,3826,Rhode Island,Midsize City,private,100.0,99.92,100.0,9,5,17,4,2,8,13,7,25,0.3321164856404199,12.52457299129321
Purdue University - Main Campus,32130,30277,IndiaNA,Small City,NA,100.0,100.0,100.0,70,38,134,32,17,64,102,55,198,63.61590704423577,37.99012489126413
Queens University of Charlotte,1717,1449,North CaroliNA,Large City,private,99.48,92.02,100.0,4,2,7,2,1,4,6,3,11,1.4073781077947698,3.8393796256818327
Quincy University,992,874,Illinois,Town,NA,96.79,82.44,99.93,2,1,5,1,1,2,3,2,7,0.9850917205054156,2.438136141234952
Quinnipiac University,7311,6959,Connecticut,Suburb,private,100.0,100.0,100.0,16,9,30,7,4,15,23,13,45,0.7619318215604411,22.975856471925663
Radford University,8419,8049,Virginia,Small City,NA,100.0,100.0,100.0,28,12,52,15,6,28,43,18,80,41.28306433187951,1.7729418124909073
Ramapo College of New Jersey,5616,4910,New Jersey,Suburb,NA,100.0,100.0,100.0,26,14,52,12,6,25,38,20,77,37.74796810124677,0.32733153575068125
Randolph College,666,645,Virginia,Small City,NA,95.66,75.67,99.77,2,1,4,1,0,2,3,1,6,2.1219284974655626,1.0048984890024217
Randolph - Macon College,1452,1428,Virginia,Suburb,private,99.88,95.0,100.0,4,2,8,2,1,4,6,3,12,5.509660875844988,1.2254649283189951
Reed College,1446,1408,Oregon,Large City,NA,99.94,97.65,100.0,5,3,11,2,1,5,7,4,16,0.1476023887674381,7.281448153384041
Regent University,4280,2263,Virginia,Large City,NA,100.0,99.99,100.0,14,7,29,7,3,15,21,10,44,9.989871292523514,11.359988358198201
Regis University,4084,2378,Colorado,Large City,NA,99.99,98.22,100.0,6,3,15,3,1,7,9,4,22,2.5499694926881915,6.676970963109749
Reinhardt University,1408,1260,Georgia,Rural,NA,98.85,73.22,100.0,3,1,9,1,0,5,4,1,14,4.077879945216447,0.3785720897462782
Rensselaer Polytechnic Institute,6366,6340,New York,Small City,NA,100.0,100.0,100.0,15,8,30,7,4,14,22,12,44,6.1420111004265685,16.33640780145352
Rhode Island College,7079,5461,Rhode Island,Suburb,public,99.98,99.19,100.0,6,3,11,3,1,5,9,4,16,4.50887666933732,4.205597888754258
Rhodes College,1984,1979,Tennessee,Large City,NA,100.0,99.57,100.0,9,4,19,4,2,9,13,6,28,1.8190763834780463,10.488640004161951
Rice University,4004,3916,Texas,Large City,NA,100.0,100.0,100.0,32,14,74,13,5,29,45,19,103,35.50465647791094,9.464935495692675
Rider University,4092,3711,New Jersey,Suburb,private,100.0,100.0,100.0,16,9,32,7,4,16,23,13,48,20.661828132075026,3.0378841679782
Ripon College,759,739,Wisconsin,Town,NA,60.22,37.66,85.25,1,0,1,0,0,1,1,0,2,0.27809079784830104,0.6410096627656
Rivier University,1427,908,New Hampshire,Small City,private,96.04,77.42,99.81,2,1,4,1,0,2,3,1,6,0.5872539034454325,2.6369336464503172
Roanoke College,2036,1973,Virginia,Suburb,NA,99.98,98.33,100.0,6,3,11,3,1,6,9,4,17,5.383605717579707,3.3541847587763804
Robert Morris University,4245,3840,Pennsylvania,Suburb,NA,99.99,99.48,100.0,7,4,13,3,2,6,10,6,19,7.501847487262316,2.007380961162267
Roberts Wesleyan College,1322,1248,New York,Suburb,NA,97.89,89.88,99.88,3,2,5,1,1,2,4,3,7,3.2046538523039287,0.6462230243393136
Rochester College,1152,762,Michigan,Suburb,NA,97.72,82.97,99.98,3,1,6,1,1,3,4,2,9,3.564901063826055,0.21171480229496362
Rochester Institute of Technology,13510,12447,New York,Suburb,private,100.0,100.0,100.0,31,17,57,14,7,27,45,24,84,20.358122885850978,24.36613105994309
Rockford University,1059,918,Illinois,Midsize City,NA,90.02,67.6,99.4,2,1,3,1,0,2,3,1,5,1.2815604070906443,1.0162375667249364
Rockhurst University,2208,1445,Missouri,Large City,NA,97.76,78.27,99.99,3,1,6,1,0,3,4,1,9,2.5928141132858795,1.1996076126357966
Rocky Mountain College,898,868,MontaNA,Midsize City,private,99.43,55.23,100.0,3,1,23,2,0,20,5,1,43,3.459270023258011,1.6967677057394552
Roger Williams University,4704,4042,Rhode Island,Suburb,private,100.0,99.94,100.0,9,5,17,4,2,8,13,7,25,0.3115568936722034,12.980166340442304
Rollins College,2614,2453,Florida,Suburb,private,100.0,100.0,100.0,15,8,31,7,4,15,22,12,46,18.333891175047704,4.217999787360704
Roosevelt University,2576,2117,Illinois,Large City,NA,99.77,95.38,100.0,4,2,9,2,1,4,6,3,13,2.7560607530700882,3.2811594604734955
Rosemont College,634,520,Pennsylvania,Suburb,NA,84.22,63.9,97.35,1,1,2,1,0,1,2,1,3,1.0140428327609752,0.8287193144131859
Rowan University,15399,13634,New Jersey,Suburb,NA,100.0,100.0,100.0,71,39,142,33,17,69,104,56,211,102.79242271775904,1.221647817365647
Rust College,862,792,Mississippi,Town,NA,99.83,95.23,100.0,4,2,9,2,1,4,6,3,13,4.367860838077191,1.9590243502204048
Rutgers University - Camden,5489,4493,New Jersey,Small City,NA,100.0,100.0,100.0,26,14,51,12,6,25,38,20,76,36.025574959193165,1.1469070106601735
Rutgers University - New Brunswick,35638,33677,New Jersey,Small City,NA,100.0,100.0,100.0,164,90,325,75,39,158,239,129,483,227.20432415457492,11.229554291582208
Rutgers University - Newark,8549,7162,New Jersey,Large City,NA,100.0,100.0,100.0,40,22,79,18,10,38,58,32,117,56.34292446285747,1.663232823058591
Sacred Heart University,5605,4982,Connecticut,Suburb,NA,100.0,99.99,100.0,12,7,21,5,3,10,17,10,31,0.7212214388662584,16.195038036267714
SagiNAw Valley State University,7850,6559,Michigan,Suburb,public,100.0,100.0,100.0,17,8,38,8,4,20,25,12,58,25.459827487140775,0.2092367651025464
Saint Ambrose University,2369,2215,Iowa,Midsize City,private,99.27,88.66,100.0,3,2,8,2,1,4,5,3,12,2.2000124126568323,2.712920286192716
Saint Anselm College,1965,1926,New Hampshire,Suburb,NA,99.62,94.58,100.0,4,2,7,2,1,3,6,3,10,0.36416303509744696,5.206145203640077
Saint Augustine's University,972,961,North CaroliNA,Large City,private,95.22,77.43,99.79,2,1,4,1,0,2,3,1,6,0.6768306930616068,2.3537382943440956
St. BoNAventure University,1621,1586,New York,Town,NA,99.36,94.82,99.99,3,2,6,2,1,3,5,3,9,3.6898552968503986,1.3583392582326872
