school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Pennsylvania State University - Harrisburg,4288,3960,Pennsylvania,Suburb,public,100.0,99.41,100.0,7,3,16,4,2,9,11,5,25,5.564254183045498,5.4749580139525476
Pennsylvania State University - Lehigh Valley,899,739,Pennsylvania,Suburb,public,84.15,60.9,98.14,1,1,3,1,0,1,2,1,4,1.5664762509453602,0.27216496450654487
Pennsylvania State University - New Kensington,597,484,Pennsylvania,Rural,NA,67.62,43.62,91.34,1,0,2,0,0,1,1,0,3,1.0551958079284718,0.07120144042877974
Pennsylvania State University - Schuylkill,733,595,Pennsylvania,Town,NA,81.3,56.46,97.41,1,1,2,1,0,1,2,1,3,1.0008042714373135,0.673040890113656
Pennsylvania State University - SheNAngo,490,241,Pennsylvania,Suburb,NA,59.24,36.54,85.63,1,0,1,0,0,1,1,0,2,0.7796120230399362,0.1170723782289763
Pennsylvania State University - Wilkes - Barre,456,387,Pennsylvania,Rural,NA,58.57,36.57,84.97,1,0,1,0,0,1,1,0,2,0.7832381254726801,0.09689479810593929
Pennsylvania State University - Worthington Scranton,1030,904,Pennsylvania,Suburb,public,85.03,62.74,98.26,1,1,3,1,0,1,2,1,4,1.8402469846175238,0.057091637445080654
Pennsylvania State University - York,966,793,Pennsylvania,Suburb,NA,85.66,62.33,98.53,1,1,3,1,0,1,2,1,4,1.5501587899980127,0.3895875101057817
Pepperdine University,3603,3300,California,Suburb,NA,100.0,99.95,100.0,12,5,29,6,3,15,18,8,44,11.729723379673459,5.980409698666558
Peru State College,2046,1105,Nebraska,Rural,public,76.09,43.72,97.89,1,0,2,0,0,1,1,0,3,0.19405943664823747,1.233327555839039
Pfeiffer University,812,733,North CaroliNA,Rural,NA,91.58,61.49,99.76,2,1,4,1,0,2,3,1,6,0.591432861966938,1.8698395096946208
Cairn University,770,727,Pennsylvania,Suburb,private,87.25,61.68,99.08,1,1,3,1,0,2,2,1,5,0.7977425352036557,1.2575870835377787
Thomas Jefferson University,2690,2279,Pennsylvania,Large City,private,99.97,97.77,100.0,5,3,12,3,1,7,8,4,19,2.235492149786608,5.978577642179682
Philander Smith College,893,845,Arkansas,Midsize City,private,81.55,45.51,98.78,1,0,3,1,0,1,2,0,4,0.3872136964804398,1.2992511411364966
Piedmont College,1281,1160,Georgia,Town,NA,96.55,45.22,100.0,2,0,9,1,0,5,3,0,14,2.9972265000703557,0.3643244958091812
University of Pikeville,1562,1049,Kentucky,Town,NA,99.1,80.42,100.0,3,1,8,2,1,4,5,2,12,2.875463166425586,1.8239448142976613
Pine Manor College,419,417,Massachusetts,Suburb,NA,79.02,51.75,96.73,1,0,2,1,0,1,2,0,3,1.3722052965110503,0.1860598640380482
Pittsburg State University,5709,5109,Kansas,Town,NA,99.39,82.64,100.0,3,1,8,2,1,4,5,2,12,2.3927517879136726,2.705678128448811
Pitzer College,1070,1046,California,Suburb,NA,98.77,86.3,100.0,3,1,7,1,1,4,4,2,11,2.5244918765728666,1.8631309137646352
Platt College - Aurora,236,236,Colorado,Large City,private,16.73,4.86,47.39,0,0,0,0,0,0,0,0,0,0.1829905684492152,0.0
Plymouth State University,4148,3971,New Hampshire,Town,NA,99.88,92.81,100.0,4,2,10,2,1,6,6,3,16,1.0282635274928047,5.667713461798216
Point Loma Nazarene University,3097,2571,California,Large City,private,100.0,99.95,100.0,11,5,27,6,3,14,17,8,41,14.869079788245338,2.0288025812894404
Point Park University,3282,2758,Pennsylvania,Large City,private,99.98,98.13,100.0,6,3,13,3,1,7,9,4,20,3.86905129573773,4.849360912200608
PomoNA College,1600,1578,California,Suburb,private,99.87,94.61,100.0,4,2,11,2,1,6,6,3,17,3.0684105010335307,3.5773300119750364
Portland State University,21163,13990,Oregon,Large City,NA,100.0,100.0,100.0,34,16,94,18,9,45,52,25,139,30.861436397260505,21.385784534948844
Post University,7845,2617,Connecticut,Suburb,private,100.0,99.99,100.0,15,6,38,7,3,19,22,9,57,1.1869267934998895,20.79315336080069
University of the Potomac - VA Campus,37,37,Virginia,Suburb,NA,26.75,8.39,49.51,0,0,0,0,0,0,0,0,0,0.30999201874020327,0.0
Prairie View A & M University,7977,7341,Texas,Town,NA,100.0,100.0,100.0,31,12,73,13,5,31,44,17,104,41.64380512083715,2.8879627459952335
Pratt Institute - Main,3642,3537,New York,Large City,NA,100.0,99.79,100.0,9,4,23,5,2,12,14,6,35,2.4316667205170917,11.80928943141577
Presbyterian College,1014,975,South CaroliNA,Town,NA,100.0,99.7,100.0,10,4,23,5,2,11,15,6,34,13.250529684668829,1.270829944362593
Prescott College,386,291,ArizoNA,Small City,NA,76.03,44.14,98.93,1,0,3,0,0,1,1,0,4,0.21282284876766108,1.2107251923758826
Presentation College,762,475,South Dakota,Town,private,86.33,51.63,99.46,1,0,3,1,0,2,2,0,5,1.1412245532899357,0.840996715235202
Princeton University,5397,5260,New Jersey,Suburb,private,100.0,99.99,100.0,16,7,40,8,3,20,24,10,60,4.67338911035439,18.960075604483922
Principia College,456,441,Illinois,Rural,private,82.03,52.35,98.4,1,0,3,1,0,1,2,0,4,0.041058823057156725,1.6689995334048229
Providence Christian College,165,161,California,Midsize City,private,55.06,29.03,86.81,1,0,1,0,0,1,1,0,2,0.614864531999012,0.18272054514480593
Providence College,4076,3826,Rhode Island,Midsize City,private,100.0,99.51,100.0,7,4,16,4,2,9,11,6,25,0.20263610141982102,11.124201173215493
Purdue University - Main Campus,32130,30277,IndiaNA,Small City,NA,100.0,100.0,100.0,59,29,132,31,15,71,90,44,203,61.1044530652696,29.13839046449653
Queens University of Charlotte,1717,1449,North CaroliNA,Large City,private,99.39,86.03,100.0,3,1,8,2,1,4,5,2,12,1.0452304204744538,4.030262871507948
Quincy University,992,874,Illinois,Town,NA,95.98,74.58,99.96,2,1,5,1,0,3,3,1,8,0.7162483577748451,2.480435188187811
Quinnipiac University,7311,6959,Connecticut,Suburb,private,100.0,99.99,100.0,14,6,30,7,3,16,21,9,46,0.6041002561478115,20.132813149840125
Radford University,8419,8049,Virginia,Small City,NA,100.0,100.0,100.0,43,12,92,25,7,55,68,19,147,65.85235857562155,1.4224770629976466
Ramapo College of New Jersey,5616,4910,New Jersey,Suburb,NA,100.0,100.0,100.0,20,9,50,10,4,26,30,13,76,30.338268881080214,0.2860240008784967
Randolph College,666,645,Virginia,Small City,NA,98.63,73.72,99.99,3,1,6,2,0,3,5,1,9,3.3847777181362733,0.8877835657535413
Randolph - Macon College,1452,1428,Virginia,Suburb,private,100.0,94.89,100.0,6,2,14,4,1,8,10,3,22,8.788692639418196,1.1477675661230216
Reed College,1446,1408,Oregon,Large City,NA,99.82,93.25,100.0,4,2,11,2,1,6,6,3,17,0.18462213685846196,6.105210508723105
Regent University,4280,2263,Virginia,Large City,NA,100.0,99.97,100.0,16,5,37,9,3,21,25,8,58,15.935265395780178,8.989667920180484
Regis University,4084,2378,Colorado,Large City,NA,99.93,92.49,100.0,5,2,15,2,1,7,7,3,22,2.0128962529413674,5.266334266069905
Reinhardt University,1408,1260,Georgia,Rural,NA,97.6,48.81,100.0,2,0,10,1,0,6,3,0,16,3.3324265249761833,0.39236249647005395
Rensselaer Polytechnic Institute,6366,6340,New York,Small City,NA,100.0,99.98,100.0,13,6,28,6,3,15,19,9,43,5.234769294473657,13.768218007312914
Rhode Island College,7079,5461,Rhode Island,Suburb,public,99.89,97.37,100.0,4,2,9,2,1,5,6,3,14,2.751026310228142,4.01532947053899
Rhodes College,1984,1979,Tennessee,Large City,NA,99.98,95.3,100.0,6,2,14,3,1,7,9,3,21,1.1140946068725752,7.264798422963711
Rice University,4004,3916,Texas,Large City,NA,100.0,99.97,100.0,14,6,34,7,3,16,21,9,50,12.041582203615562,8.801193920854752
Rider University,4092,3711,New Jersey,Suburb,private,100.0,99.98,100.0,13,6,31,6,3,16,19,9,47,16.60603547624741,2.689314175936381
Ripon College,759,739,Wisconsin,Town,NA,50.79,27.3,82.01,0,0,1,0,0,1,0,0,2,0.22064839820925422,0.48686093466182195
Rivier University,1427,908,New Hampshire,Small City,private,94.61,69.98,99.88,2,1,4,1,0,2,3,1,6,0.34243566776039447,2.5721909415340707
Roanoke College,2036,1973,Virginia,Suburb,NA,100.0,97.57,100.0,7,2,16,4,1,9,11,3,25,8.587616735370496,2.917850458929586
Robert Morris University,4245,3840,Pennsylvania,Suburb,NA,99.98,98.49,100.0,5,3,12,3,1,6,8,4,18,6.572310659348299,1.7550361156564946
