school,real_size,size,state,setting,status,meanprob,lowprob,highprob,meaNActive,lowactive,highactive,meanincub,lowincub,highincub,meantot,lowtot,hightot,instate,outstate
Virginia State University,4299,3976,Virginia,Suburb,public,100.0,99.99,100.0,18,6,40,10,3,23,28,9,63,22.27339186429096,5.969892500994549
Virginia Union University,1298,1201,Virginia,Midsize City,NA,99.93,91.11,100.0,5,2,10,3,1,6,8,3,16,4.980230315723484,2.2644713491544377
Virginia Wesleyan University,1438,1354,Virginia,Large City,NA,100.0,94.86,100.0,6,2,14,4,1,8,10,3,22,8.700804387436506,1.2404466423044163
Viterbo University,1770,1394,Wisconsin,Small City,NA,82.71,46.8,99.29,1,0,3,1,0,2,2,0,5,0.47149846132093426,1.274466494614708
Voorhees College,475,464,South CaroliNA,Town,private,99.89,93.43,100.0,4,2,10,2,1,6,6,3,16,6.254055134373247,0.5127614586067873
Wabash College,865,864,IndiaNA,Town,NA,94.93,72.98,99.91,2,1,5,1,0,2,3,1,7,1.6254216424782588,1.3446550559646615
Wagner College,1797,1736,New York,Large City,NA,99.88,94.89,100.0,4,2,11,2,1,6,6,3,17,2.076972493513594,4.588983660898218
Wake Forest University,5099,5046,North CaroliNA,Midsize City,NA,100.0,99.99,100.0,16,6,41,9,3,22,25,9,63,1.146347832237767,23.83675036268236
Walden University,7443,453,Minnesota,Large City,NA,100.0,100.0,100.0,42,16,102,22,8,54,64,24,156,0.018331807371777496,63.272083194114295
Waldorf University,2124,1482,Iowa,Town,private,100.0,99.57,100.0,10,4,25,5,2,14,15,6,39,1.1067939121238726,13.868110321855944
Walla Walla University,1650,1556,Washington,Suburb,NA,99.98,97.75,100.0,5,2,15,3,1,8,8,3,23,4.064035413619456,4.209871574431238
Walsh University,2012,1744,Ohio,Suburb,private,98.53,81.05,100.0,3,1,6,1,1,3,4,2,9,3.7669875450115335,0.4483426820068321
Warner Pacific College,404,396,Oregon,Large City,NA,73.47,43.87,98.79,1,0,3,0,0,1,1,0,4,0.45994701839408925,0.8616541452807901
Warner University,1003,869,Florida,Rural,NA,100.0,99.7,100.0,9,4,21,5,2,11,14,6,32,13.547149364056063,0.29232277636674137
Warren Wilson College,589,579,North CaroliNA,Suburb,private,92.48,60.04,99.95,2,1,5,1,0,2,3,1,7,0.10538843904354145,2.4663408846516
Wartburg College,1525,1474,Iowa,Town,NA,97.82,56.98,100.0,3,1,9,1,0,5,4,1,14,3.0045541806393006,0.8140567137607564
Washburn University,5877,3944,Kansas,Midsize City,NA,98.39,79.63,99.98,3,1,6,1,1,3,4,2,9,3.1712349604448464,0.9520064006043334
Washington Adventist University,875,655,Maryland,Suburb,NA,97.45,77.46,99.98,2,1,6,1,1,3,3,2,9,1.1524568540123175,2.4980208411500784
Washington & Jefferson College,1411,1398,Pennsylvania,Suburb,NA,96.86,79.46,99.96,2,1,5,1,1,3,3,2,8,1.7953191255194823,1.6544965928262831
Washington and Lee University,1824,1823,Virginia,Town,private,100.0,97.99,100.0,7,3,17,4,1,9,11,4,26,2.285733846747462,8.53851055680986
Washington College,1489,1456,Maryland,Town,NA,98.95,85.57,100.0,3,1,7,2,1,4,5,2,11,2.028725790941073,2.5170629942022456
Washington State University,25279,22166,Washington,Town,NA,100.0,100.0,100.0,91,49,195,53,27,115,144,76,310,131.1939319438844,13.022763427421976
Washington University in St Louis,7673,7074,Missouri,Suburb,NA,100.0,100.0,100.0,25,9,67,13,5,36,38,14,103,0.7392152347893559,37.88800581057484
Wayland Baptist University,3563,990,Texas,Town,NA,100.0,100.0,100.0,55,17,148,30,9,79,85,26,227,83.71886325538792,1.4567305555894285
Wayne State College,2756,2404,Nebraska,Town,public,76.81,37.99,98.96,1,0,3,0,0,2,1,0,5,0.3093690864981227,1.1467277086341916
Wayne State University,17300,12389,Michigan,Large City,public,100.0,100.0,100.0,39,13,109,20,7,61,59,20,170,58.22120688287527,0.8616633493250444
Waynesburg University,1374,1330,Pennsylvania,Town,private,93.38,73.98,99.73,2,1,4,1,0,2,3,1,6,2.0719392928955958,0.6391778296867477
Webber InterNAtioNAl University,626,584,Florida,Town,NA,99.99,97.69,100.0,6,2,13,3,1,7,9,3,20,8.863452209743464,0.08003340635900964
Weber State University,27106,11311,Utah,Small City,NA,100.0,100.0,100.0,124,25,448,68,12,260,192,37,708,175.1158558762407,16.49663193948778
Webster University,3080,2297,Missouri,Suburb,private,99.99,95.05,100.0,6,2,19,3,1,10,9,3,29,2.3454539458970687,7.105346460303576
Wellesley College,2513,2374,Massachusetts,Suburb,private,100.0,98.72,100.0,7,3,18,4,1,9,11,4,27,1.2770837739534597,9.388858215133842
Wells College,486,481,New York,Rural,NA,77.44,48.95,96.68,1,0,2,1,0,1,2,0,3,0.8362157663908649,0.6474889429943731
Wentworth Institute of Technology,4263,3904,Massachusetts,Large City,private,100.0,99.83,100.0,9,4,21,5,2,11,14,6,32,11.69055048156741,2.3149335506245645
Wesley College,1447,1303,Delaware,Small City,private,98.65,85.46,100.0,3,1,7,1,1,3,4,2,10,0.20570676903403431,4.086284132232008
Wesleyan College,565,431,Georgia,Midsize City,NA,88.96,44.92,99.95,1,0,5,1,0,3,2,0,8,1.037763646485031,1.1561236444177962
