 ,0,0,na,na,na
Eastern Connecticut State University,5069,4210,Connecticut,Town,public
Eastern Illinois University,5569,4319,Illinois,Town,na
Eastern Kentucky University,14138,10744,Kentucky,Town,na
Eastern Mennonite University,1102,942,Virginia,Small City,na
Eastern Michigan University,17218,12410,Michigan,Suburb,na
Eastern Nazarene College,694,571,Massachusetts,Suburb,private
Eastern New Mexico University - Main Campus,4600,2590,New Mexico,Town,na
Eastern Oregon University,2736,1668,Oregon,Town,public
Eastern University,1882,1462,Pennsylvania,Suburb,na
Eastern Washington University,11474,10060,Washington,Town,na
Eckerd College,2036,1915,Florida,Large City,private
Edgewood College,1566,1361,Wisconsin,Large City,na
Edinboro University of Pennsylvania,4294,3888,Pennsylvania,Town,public
Edward Waters College,3443,853,Florida,Large City,private
Elizabeth City State University,1365,1179,North Carolina,Town,na
Elizabethtown College,1674,1636,Pennsylvania,Suburb,private
Elmhurst College,2874,2732,Illinois,Suburb,private
Elmira College,936,833,New York,Small City,na
Elon University,6049,5885,North Carolina,Suburb,na
Embry Riddle Aeronautical University - Daytona Beach,5733,5378,Florida,Small City,na
Embry Riddle Aeronautical University - Prescott,2607,2471,Arizona,Rural,na
Emerson College,3814,3748,Massachusetts,Large City,na
Emmanuel College Georgia,954,822,Georgia,Town,na
Emmanuel College Massachusetts,1947,1804,Massachusetts,Large City,na
Emory and Henry College,999,966,Virginia,Rural,na
Emory University,6938,6794,Georgia,Large City,na
Emporia State University,3605,3340,Kansas,Town,na
Endicott College,3348,2946,Massachusetts,Suburb,na
Erskine College,573,568,South Carolina,Rural,na
Eureka College,615,593,Illinois,Town,private
Evangel University,1632,1461,Missouri,Midsize City,na
Everglades University,2101,2099,Florida,Small City,na
Fairfield University,4118,3879,Connecticut,Suburb,private
Fairleigh Dickinson University - Florham Campus,2747,2640,New Jersey,Suburb,na
Fairleigh Dickinson University - Metropolitan Campus,5471,2374,New Jersey,Suburb,na
Fairmont State University,3661,3108,West Virginia,Town,public
Farmingdale State College,9552,7407,New York,Suburb,na
Faulkner University,2673,1744,Alabama,Midsize City,na
Fayetteville State University,5394,3905,North Carolina,Midsize City,na
Felician University,1626,1430,New Jersey,Suburb,na
Ferris State University,12513,8469,Michigan,Town,public
Ferrum College,1137,1118,Virginia,Rural,na
Finlandia University,399,336,Michigan,Town,na
Fisk University,663,639,Tennessee,Large City,na
Fitchburg State University,4119,3386,Massachusetts,Suburb,public
Five Towns College,626,591,New York,Suburb,na
Flagler College - St Augustine,2681,2591,Florida,Suburb,na
Florida Agricultural and Mechanical University,8027,6875,Florida,Midsize City,na
Florida Atlantic University,25033,16325,Florida,Small City,public
Florida Gulf Coast University,13857,10973,Florida,Suburb,na
Florida Institute of Technology,3634,3269,Florida,Small City,private
Florida International University,47621,26655,Florida,Suburb,public
Florida Memorial University,1173,1129,Florida,Suburb,private
Florida Southern College,2615,2356,Florida,Midsize City,na
Florida State University,33009,29286,Florida,Midsize City,na
Fontbonne University,892,765,Missouri,Suburb,na
Fordham University,9595,9132,New York,Large City,na
Fort Hays State University,12499,5889,Kansas,Town,na
Fort Lewis College,3303,2921,Colorado,Town,public
Fort Valley State University,2345,2115,Georgia,Town,na
Framingham State University,4128,3558,Massachusetts,Small City,public
Francis Marion University,3462,3006,South Carolina,Suburb,public
Franciscan University of Steubenville,2201,2011,Ohio,Small City,na
Franklin and Marshall College,2281,2263,Pennsylvania,Small City,na
Franklin College,1017,962,Indiana,Suburb,private
Franklin Pierce University,1712,1563,New Hampshire,Rural,na
Welch College,344,222,Tennessee,Rural,private
Freed - Hardeman University,1469,1261,Tennessee,Town,na
Fresno Pacific University,2803,2342,California,Large City,private
Friends University,1149,906,Kansas,Large City,na
Frostburg State University,4726,3849,Maryland,Suburb,public
Full Sail University,16908,16908,Florida,Suburb,na
Furman University,2732,2658,South Carolina,Suburb,na
Gallaudet University,1125,1074,District of Columbia,Large City,na
Gannon University,3074,2530,Pennsylvania,Small City,private
Gardner - Webb University,2218,1781,North Carolina,Town,na
Geneva College,1412,1247,Pennsylvania,Suburb,na
George Fox University,2700,2494,Oregon,Town,private
George Mason University,25006,20221,Virginia,Suburb,na
George Washington University,11996,10893,District of Columbia,Large City,na
Georgetown College,1059,976,Kentucky,Town,private
Georgetown University,7465,6987,District of Columbia,Large City,private
Georgia College & State University,5987,5442,Georgia,Town,na
Georgia Gwinnett College,12290,8289,Georgia,Suburb,public
Georgia Institute of Technology - Main Campus,15576,13974,Georgia,Large City,na
Georgia Southern University,17763,15755,Georgia,Town,na
Georgia Southwestern State University,2604,1779,Georgia,Town,public
Georgia State University,25771,19882,Georgia,Large City,na
Georgian Court University,1612,1343,New Jersey,Small City,private
Gettysburg College,2411,2404,Pennsylvania,Small City,na
Glenville State College,1655,1037,West Virginia,Town,na
Goddard College,189,173,Vermont,Rural,na
Gonzaga University,5194,5106,Washington,Midsize City,private
Gordon College,1593,1528,Massachusetts,Suburb,na
